Date,Open,High,Low,Close,Adj Close,Volume
2021-10-01,79.12000274658203,79.13999938964844,77.83999633789062,78.30999755859375,77.09490203857422,2249500
2021-10-04,78.62000274658203,79.36000061035156,77.80999755859375,78.08000183105469,76.86846923828125,1690500
2021-10-05,78.26000213623047,78.72000122070312,77.93000030517578,78.30999755859375,77.09490203857422,1381500
2021-10-06,78.19000244140625,78.66000366210938,77.31999969482422,78.62000274658203,77.40009307861328,1070200
2021-10-07,78.9000015258789,79.47000122070312,78.5199966430664,78.68000030517578,77.45915985107422,2016000
2021-10-08,78.69999694824219,79.20999908447266,78.45999908447266,78.56999969482422,77.35086822509766,858400
2021-10-11,78.80999755859375,79.5999984741211,78.30000305175781,78.33999633789062,77.12443542480469,1269300
2021-10-12,78.58000183105469,79.44000244140625,78.19999694824219,79.23999786376953,78.01046752929688,2028200
2021-10-13,79.4800033569336,79.62999725341797,78.06999969482422,79.30999755859375,78.07937622070312,1335900
2021-10-14,79.77999877929688,79.8499984741211,79.22000122070312,79.69999694824219,78.46332550048828,1059000
2021-10-15,80.0,80.20999908447266,79.55999755859375,79.68000030517578,78.44364929199219,1413800
2021-10-18,79.38999938964844,80.18000030517578,79.19999694824219,79.43000030517578,78.19752502441406,1290800
2021-10-19,79.77999877929688,80.12999725341797,79.0199966430664,80.0999984741211,78.85713195800781,1236000
2021-10-20,80.19999694824219,81.86000061035156,80.0999984741211,81.2300033569336,79.9696044921875,1457300
2021-10-21,81.13999938964844,81.56999969482422,80.80999755859375,81.19000244140625,79.93021392822266,1156800
2021-10-22,81.30999755859375,82.58999633789062,81.06999969482422,82.5,81.21987915039062,1283200
2021-10-25,82.5,83.76000213623047,81.95999908447266,83.29000091552734,81.99763488769531,1671300
2021-10-26,83.19999694824219,83.31999969482422,82.25,82.48999786376953,81.21004486083984,1203900
2021-10-27,82.55999755859375,82.55999755859375,80.0999984741211,80.62999725341797,79.37889862060547,1520600
2021-10-28,80.69000244140625,81.08999633789062,79.56999969482422,81.01000213623047,79.75301361083984,1389800
2021-10-29,81.06999969482422,81.79000091552734,79.94000244140625,79.97000122070312,78.7291488647461,1771200
2021-11-01,80.1500015258789,81.25,80.0,80.83000183105469,79.57579803466797,977000
2021-11-02,80.8499984741211,81.73999786376953,80.55000305175781,81.52999877929688,80.26493835449219,1269400
2021-11-03,81.54000091552734,82.31999969482422,81.19000244140625,81.72000122070312,80.45199584960938,1152200
2021-11-04,81.73999786376953,82.18000030517578,80.5999984741211,81.06999969482422,79.81207275390625,835100
2021-11-05,81.47000122070312,81.86000061035156,80.98999786376953,81.55999755859375,80.29447174072266,1143000
2021-11-08,81.9000015258789,81.94999694824219,81.22000122070312,81.37000274658203,80.107421875,1051100
2021-11-09,81.20999908447266,81.66999816894531,80.66999816894531,81.5199966430664,80.25508880615234,1169900
2021-11-10,81.95999908447266,82.83000183105469,81.26000213623047,82.54000091552734,81.25926971435547,1574100
2021-11-11,82.16999816894531,83.25,82.0199966430664,83.12999725341797,81.8401107788086,1580900
2021-11-12,83.12999725341797,83.1500015258789,80.43000030517578,81.2300033569336,79.9696044921875,2804700
2021-11-15,81.0,84.81999969482422,80.52999877929688,84.11000061035156,82.8049087524414,4097500
2021-11-16,84.55000305175781,85.61000061035156,83.54000091552734,83.58000183105469,82.28312683105469,2434700
2021-11-17,83.56999969482422,84.37999725341797,82.20999908447266,82.58999633789062,81.30848693847656,1859000
2021-11-18,82.5999984741211,83.30000305175781,82.26000213623047,82.55999755859375,81.2789535522461,2875000
2021-11-19,82.6500015258789,82.91999816894531,81.0199966430664,81.51000213623047,80.24524688720703,2018200
2021-11-22,81.69000244140625,83.33999633789062,81.69000244140625,83.12999725341797,81.8401107788086,1730000
2021-11-23,83.0,83.86000061035156,82.6500015258789,83.23999786376953,81.94839477539062,2131600
2021-11-24,83.01000213623047,84.37000274658203,82.94000244140625,83.23999786376953,81.94839477539062,1314300
2021-11-26,82.0,83.11000061035156,81.33000183105469,81.33999633789062,80.077880859375,1171500
2021-11-29,81.93000030517578,82.4800033569336,81.55000305175781,81.87999725341797,80.60950469970703,2027500
2021-11-30,80.69999694824219,81.94000244140625,78.75,78.95999908447266,78.17399597167969,3299900
2021-12-01,79.55000305175781,80.45999908447266,78.22000122070312,78.26000213623047,77.48096466064453,2427300
2021-12-02,79.2699966430664,81.45999908447266,78.94999694824219,80.79000091552734,79.98577880859375,2993600
2021-12-03,81.73999786376953,83.08000183105469,81.63999938964844,82.5999984741211,81.77775573730469,3070800
2021-12-06,83.4000015258789,84.87000274658203,83.27999877929688,83.4800033569336,82.64900207519531,2744500
2021-12-07,83.48999786376953,84.8499984741211,83.43000030517578,83.97000122070312,83.13412475585938,1874300
2021-12-08,84.33999633789062,84.97000122070312,83.44000244140625,83.52999877929688,82.69850158691406,2074700
2021-12-09,83.37999725341797,84.4000015258789,82.51000213623047,83.75,82.91631317138672,3182200
2021-12-10,84.25,84.55000305175781,83.56999969482422,84.11000061035156,83.2727279663086,1973200
2021-12-13,83.72000122070312,85.38999938964844,83.22000122070312,84.93000030517578,84.08456420898438,2564400
2021-12-14,85.25,86.43000030517578,84.8499984741211,85.75,84.89640045166016,3078000
2021-12-15,85.77999877929688,86.26000213623047,85.02999877929688,85.91000366210938,85.05481719970703,1892800
2021-12-16,86.4000015258789,86.95999908447266,85.80999755859375,86.19999694824219,85.3419189453125,1821900
2021-12-17,86.30000305175781,86.62000274658203,85.38999938964844,85.43000030517578,84.57958984375,3392500
